timestamp,solving_id,question_id,user_answer,elapsed_time
1514175970220,1,q8098,b,13000
1514201863626,1,q8098,b,19000
1514201907080,2,q8074,d,21000
1514201930031,3,q176,a,20000
1514201983765,4,q1279,b,16000
1514202051138,5,q2069,a,14333
1514202051178,5,q2067,c,14333
1514202051215,5,q2068,a,14333
1514202106462,6,q3412,b,17333
1514202106541,6,q3413,b,17333
1514202106568,6,q3411,d,17333
1514202159384,7,q2991,d,16333
1514202159461,7,q2992,b,16333
1514202159598,7,q2993,c,16333
1514202234996,8,q2628,b,24333
1514202235052,8,q2630,a,24333
1514202235062,8,q2629,a,24333
1514202290339,9,q4555,d,53000
1514202319004,10,q4178,c,26000
1514202338444,11,q4761,b,17000
1514202352542,12,q6185,b,11000
1514202380863,13,q6243,b,26000
1514202403599,14,q6442,a,20000
1514202573961,15,q6949,a,41750
1514202574003,15,q6950,a,41750
1514202574030,15,q6951,c,41750
1514202574068,15,q6952,a,41750
1514202797427,16,q7335,b,54750
1514202797441,16,q7337,b,54750
1514202797515,16,q7336,d,54750
1514202797552,16,q7338,b,54750
1514202912904,17,q5676,c,6000
1514202932197,18,q4573,d,12000
1514202964231,19,q4371,a,7000
1514202984560,20,q8626,a,14000
1514203044082,21,q4027,b,40000
1514203094900,22,q4545,a,34000
1514203146721,23,q5664,c,25000
1514203166242,24,q9973,b,13000
1514203186574,25,q6175,d,14000
1514203205628,26,q4508,b,12000
1515376745597,27,q4474,d,30000
1515376789348,28,q4436,c,23000
1515376828449,29,q5483,b,24000
1515376859337,30,q10256,c,14000
1515376906316,31,q6261,b,17000
1515376963423,32,q5953,b,32000
1515377003251,33,q5822,d,32000
1515377038316,34,q8943,c,26000
1515377095209,35,q5393,d,48000
1515377121767,36,q3915,c,20000
1515377188883,37,q5061,c,21000
1515377228890,38,q10326,c,26000
1515377261886,39,q5389,c,20000
1515377272525,40,q4476,c,5000
1515377317873,41,q6230,c,39000
1515377537024,42,q4892,d,33000
1515377605505,43,q5401,c,48000
1515377672273,44,q3906,a,52000
1515377692368,45,q4300,d,13000
1515377715806,46,q9326,a,16000
1515377745212,47,q5906,b,22000
1515377806503,48,q5744,d,43000
1515377869742,49,q6494,c,37000
1515377895851,50,q8962,c,18000
1515377938663,51,q3955,a,25000
1515384185289,52,q3935,b,15000
1515384388337,53,q4196,b,33000
1515384440872,54,q10069,c,36000
1515384475955,55,q4282,c,10000
1515384498361,56,q4468,c,14000
1515384511324,57,q4619,c,6000
1515384530493,58,q9350,b,10000
1515384555017,59,q4560,c,18000
1515384574077,60,q5661,a,12000
1515384698177,61,q6695,d,20250
1515384698186,61,q6696,a,20250
1515384698241,61,q6694,d,20250
1515384698295,61,q6693,d,20250
1515384863705,62,q6651,a,33250
1515384863718,62,q6650,b,33250
1515384863727,62,q6649,a,33250
1515384863736,62,q6652,d,33250
1515385092817,63,q6974,d,37250
1515385092822,63,q6973,c,37250
1515385092830,63,q6975,c,37250
1515385092851,63,q6976,a,37250
1515386479465,64,q3774,a,15000
1515386507473,65,q9100,b,20000
1515386527896,66,q5342,d,11000
1515386552810,67,q6210,a,18000
1515386673050,68,q4597,c,113000
1515386743825,69,q9554,c,36000
1515386798113,70,q4765,c,46000
1515386903344,71,q6735,b,35000
1515386934687,72,q4533,c,24000
1515386976000,73,q9540,d,35000
1515387018205,74,q5242,c,34000
1515387045705,75,q4158,c,12000
1515387147120,76,q5406,a,91000
1515387166470,77,q9178,a,10000
1515387224402,78,q5780,b,20000
1515387279825,79,q5079,b,48000
1515387307089,80,q4321,a,14000
1515387347748,81,q8648,d,33000
1515387408716,82,q3694,c,54000
1515387434953,83,q5724,b,18000
1515387468462,84,q4783,a,26000
1515387554719,85,q8758,b,78000
1515387592452,86,q4747,a,29000
1515387613807,87,q4167,a,14000
1515387627785,88,q3762,d,4000
1515387656986,89,q8633,d,22000
1515387697295,90,q5682,c,33000
1515387739714,91,q4553,d,35000
1515387755259,92,q5533,a,6000
1515387802400,93,q9395,c,34000
1515388097361,94,q7678,d,58000
1515388097368,94,q7680,c,58000
1515388103946,94,q7679,c,58000
1515388530411,95,q7428,b,94000
1515388530433,95,q7427,d,94000
1515388531044,95,q7426,d,94000
1515388534620,95,q7429,a,94000
1515388783856,96,q7955,a,45250
1515388783884,96,q7956,c,45250
1515388783898,96,q7957,b,45250
1515388783943,96,q7954,d,45250
1515388956563,97,q5394,c,39000
1515389006042,98,q4316,a,29000
1515389039049,99,q5219,a,25000
1515389113107,100,q8388,a,60000
1515389223675,101,q4249,b,96000
1515461345837,102,q6101,c,74000
1515461369933,103,q3771,a,17000
1515461389665,104,q9957,c,14000
1515461429677,105,q6184,b,18000
1515461469006,106,q3684,c,32000
1515461497055,107,q5757,a,17000
1515461568033,108,q10228,c,6000
1515461602317,109,q5787,a,27000
1515461624128,110,q6437,a,15000
1515461658571,111,q5667,b,28000
1515461719183,112,q9028,a,53000
1515461758454,113,q4518,c,22000
1515461778971,114,q5086,d,12000
1515461811687,115,q4769,c,26000
1515461876242,116,q9044,b,43000
1515461912165,117,q9621,b,26000
1515461979592,118,q3909,b,30000
1515462053768,119,q3990,b,17000
1515462074721,120,q9901,b,14000
1515462279574,121,q4530,b,36000
1515462347555,122,q6390,b,35000
1515462389818,123,q5390,c,28000
1515462427971,124,q9144,b,31000
1515462511570,125,q6401,a,67000
1515462582596,126,q8414,b,61000
1515462615335,127,q4729,c,11000
1515462678063,128,q8644,d,54000
1515462746918,129,q8483,b,43000
1515462769933,130,q5660,b,16000
1515462830364,131,q4827,a,53000
1515463121340,132,q8550,a,19000
1515463142031,133,q5238,b,14000
1515463174728,134,q6049,a,8000
1515463204237,135,q6328,d,15000
1515463219955,136,q9826,a,9000
1515463256337,137,q9578,d,28000
1515463278656,138,q4122,d,15000
1515463307822,139,q6183,c,22000
1515463360097,140,q8616,a,36000
1515463383775,141,q5564,a,16000
1515470748604,142,q5630,d,22000
1515470819790,143,q6513,b,65000
1515470899413,144,q9130,b,45000
1515470936241,145,q5307,d,20000
1515471028071,146,q6176,b,69000
1515471070159,147,q5337,b,21000
1515471172723,148,q9069,c,47000
1515471216299,149,q4043,d,30000
1515471296358,150,q4045,c,64000
1515471332581,151,q5052,a,14000
1515471397747,152,q10156,b,48000
1515471431963,153,q4181,b,15000
1515471447841,154,q4452,a,10000
1515471485795,155,q8652,a,30000
1515471562212,156,q8944,a,68000
1515471592612,157,q6171,c,18000
1515471659657,158,q6549,d,37000
1515471682729,159,q4022,b,11000
1515471715012,160,q9415,a,16000
1515471732755,161,q4031,b,10000
1515472038028,162,q10755,a,60250
1515472038033,162,q10754,b,60250
1515472038034,162,q10752,b,60250
1515472038106,162,q10753,c,60250
1515472614312,163,q6709,d,80500
1515472614321,163,q6710,b,80500
1515472614375,163,q6712,d,80500
1515472614415,163,q6711,a,80500
1515542496481,164,q6793,b,25750
1515542496484,164,q6794,c,25750
1515542496487,164,q6795,d,25750
1515542496492,164,q6796,a,25750
1515542536823,165,q6515,a,12000
1515542563094,166,q5417,a,9000
1515542596419,167,q8637,c,9000
1515542658341,168,q3698,a,48000
1515542746735,169,q4136,b,77000
1516838861958,170,q5663,c,72000
1516838925130,171,q9061,d,49000
1516838956505,172,q5339,c,16000
1516838974249,173,q4290,b,12000
1516839020885,174,q6254,b,30000
1516839076676,175,q10284,d,30000
1516839089839,176,q4672,b,7000
1516839136339,177,q5414,c,24000
1516839223540,178,q3692,d,81000
1516839293677,179,q5812,d,48000
1516839314013,180,q5060,c,9000
1516839333999,181,q6364,a,14000
1516839350735,182,q5308,d,11000
1516839407710,183,q9114,b,47000
1516839439181,184,q3911,d,26000
1516839476270,185,q5094,a,30000
1516839517609,186,q3788,b,35000
1516839567438,187,q9920,b,29000
1516839685451,188,q5506,b,105000
1516839701566,189,q5688,b,6000
1516839741200,190,q5108,d,15000
1545784796999,191,q4027,a,27000
1545784870224,192,q8414,a,62000
1545785907509,193,q6049,a,59000
1545785940153,194,q5757,b,6000
1545789345859,195,q6183,b,44000
1545789376758,196,q5242,a,21000
1546408988159,197,q133,b,26000
1546409021822,198,q8135,a,22000
1546409049319,199,q92,a,19000
1546409079912,200,q10960,d,24000
1546409111102,201,q2,a,19000
1546409139791,202,q8076,b,21000
1546409186112,203,q8061,a,20000
1546409676524,203,q8061,b,24000
1546409716451,204,q11117,a,20000
1546409758055,205,q166,c,22000
1546409801990,206,q8055,d,24000
1546409835075,207,q8093,c,20000
1546409862243,208,q11011,b,21000
1546409897052,209,q8049,c,20000
1546409939013,210,q44,d,20000
1546409966399,211,q8063,b,20000
1546409994460,212,q11041,a,22000
1546410028375,213,q19,c,20000
1546410081648,214,q8052,c,21000
1546410112418,215,q141,b,22000
1546410169838,216,q11148,c,18000
1546410195893,217,q8164,d,19000
1546410267232,218,q446,b,17000
1546410304031,219,q374,a,17000
1546410355204,220,q1305,b,36000
1546410409046,221,q11263,b,18000
1546410480886,222,q805,b,14000
1546410515797,223,q520,a,14000
1546410570424,224,q647,c,17000
1546410591441,225,q295,c,15000
1546410613643,226,q803,c,17000
1546410658699,227,q862,c,18000
1546410701706,228,q1349,c,18000
1546410728418,229,q11262,a,16000
1546410750562,230,q463,b,15000
1546410781871,231,q333,c,21000
1546410830137,232,q1393,c,20000
1546410870704,233,q11261,c,18000
1546410913854,234,q491,b,16000
1546410938011,235,q1184,b,19000
1546411023022,236,q1167,b,17000
1546411047748,237,q11259,c,17000
1546411089406,238,q482,b,16000
1546411231408,239,q1722,b,33333
1546411231443,239,q1723,a,33333
1546411231480,239,q1724,c,33333
1546411417439,240,q2322,b,27000
1546411417452,240,q2324,d,27000
1546411417459,240,q2323,b,27000
1546411565323,241,q2577,d,27333
1546411565351,241,q2578,a,27333
1546411565379,241,q2579,d,27333
1546412333721,242,q2323,c,20667
1546412333739,242,q2324,d,20667
1546412333805,242,q2322,b,20667
1546412467158,243,q2146,b,26667
1546412467187,243,q2145,c,26667
1546412467206,243,q2147,a,26667
1546413131992,244,q1553,a,20000
1546413132008,244,q1551,b,20000
1546413132020,244,q1552,d,20000
1546413438930,245,q2269,d,26333
1546413438952,245,q2270,d,26333
1546413438953,245,q2268,a,26333
1546413627253,246,q3068,b,26667
1546413627259,246,q3067,c,26667
1546413627298,246,q3066,d,26667
1546414088167,247,q8541,b,12000
1546414110522,248,q6525,d,16000
1546414171701,249,q5727,a,32000
1546414209356,250,q4916,b,18000
1546498637779,250,q4916,b,24000
1546498700777,251,q5564,a,21000
1546499302071,252,q3955,a,41000
1546499372345,253,q5108,b,30000
1546499865413,254,q5688,d,38000
1546499916905,255,q4672,c,26000
1546500173378,256,q4022,d,50000
1546500266190,257,q5506,a,60000
1546500752151,258,q5308,b,34000
1546500801710,259,q5307,c,36000
1546501783635,260,q4136,b,125000
1546501857418,261,q4573,d,45000
1546503535053,262,q4045,c,39000
1546503591738,263,q5394,b,30000
1546504318494,264,q4167,a,28000
1546504431460,265,q4043,d,60000
1546505096638,266,q4530,b,28000
1546505153879,267,q3909,a,23000
1546505390345,268,q5219,b,10000
1546505404313,269,q3684,d,8000
1546505805246,270,q5744,d,21000
1546505852549,271,q4545,c,27000
1546505893195,272,q8794,b,25000
1546505935147,273,q6453,d,33000
1546506138611,274,q8414,a,18000
1546506155193,275,q6453,b,11000
1546506225215,276,q5659,a,26000
1546506348958,277,q4600,b,10000
1546506385803,278,q9026,c,30000
1546506543592,279,q5351,d,51000
1546507176963,280,q8460,a,33000
1546507348141,281,q4135,b,80000
1546507442736,282,q8891,d,38000
1546507600194,283,q4564,a,32000
1546586426948,284,q4250,b,63000
1546589086684,285,q6171,b,14000
1546589103180,286,q4250,d,8000
1548738092503,287,q639,c,20000
1548738422152,288,q1143,c,16000
1548738450285,289,q11249,c,20000
1548738516164,290,q389,b,38000
1548931802148,291,q106,a,24000
1548931830317,292,q8,b,21000
1548931858709,293,q11155,c,18000
1548931892278,294,q8114,a,20000
1548931927280,295,q149,a,21000
1548931960300,296,q185,a,21000
1548931993024,297,q11061,b,22000
1548932023996,298,q81,b,22000
1548932051634,299,q32,a,20000
1548932082274,300,q8122,a,24000
1548932149414,301,q8076,a,0
1548932191520,302,q772,c,18000
1548932226481,303,q449,b,15000
1548932250414,304,q1340,a,17000
1548932276260,305,q289,c,16000
1548932577629,306,q639,b,19000
1548932597330,307,q289,b,15000
1548932630109,308,q225,c,23000
1548932660547,309,q1291,c,18000
1548932684460,310,q284,b,17000
1548932709660,311,q1110,c,17000
1548932734374,312,q484,c,16000
1548932756307,313,q680,a,16000
1548932783948,314,q1065,c,16000
1548932821796,315,q729,a,18000
1548932854181,316,q1149,b,14000
