timestamp,solving_id,question_id,user_answer,elapsed_time
1515156726930,1,q8098,b,19000
1515156751286,2,q8074,d,22000
1515156774280,3,q176,c,21000
1515156795601,4,q1279,b,18000
1515196113455,5,q2069,d,33666
1515196113458,5,q2068,d,33666
1515196113505,5,q2067,b,33666
1515196229039,6,q3413,a,27000
1515196229054,6,q3411,d,27000
1515196229128,6,q3412,d,27000
1515196275995,7,q2992,b,14666
1515196276003,7,q2991,b,14666
1515196276051,7,q2993,c,14666
1515196345899,8,q2628,c,22333
1515196345936,8,q2630,c,22333
1515196345977,8,q2629,b,22333
1515196377172,9,q4555,b,28000
1515196408628,10,q4178,c,29000
1515196423724,11,q4761,b,13000
1515196452293,12,q6185,c,26000
1515196498242,13,q6243,c,44000
1515196525482,14,q6442,d,25000
1515196670649,15,q6950,c,35500
1515196670698,15,q6951,a,35500
1515196670706,15,q6952,c,35500
1515196670865,15,q6949,d,35500
1515196895624,16,q7337,d,55500
1515196895629,16,q7336,a,55500
1515196895684,16,q7335,b,55500
1515196895779,16,q7338,d,55500
1515197511402,17,q6063,b,37000
1515204031085,18,q5499,a,16000
1515204084110,19,q4474,a,39000
1515204189211,20,q8544,c,47000
1515204237693,21,q5313,c,8000
1515204296258,22,q4297,a,50000
1515204392290,23,q5336,a,40000
1515204464887,24,q9132,d,46000
1515204545847,25,q4405,d,19000
1515204592886,26,q5329,b,34000
1515285373087,27,q3812,a,19000
1515285441591,28,q6098,b,61000
1515285514393,29,q6390,a,62000
1515285658697,30,q4131,c,82000
1515285730835,31,q5519,b,14000
1515285777007,32,q8717,b,30000
1515285803164,33,q3928,d,20000
1515286016297,34,q4820,a,158000
1515286072068,35,q5327,d,30000
1515286116196,36,q9325,c,34000
1515297544972,37,q507,a,14000
1515297580876,38,q832,c,17000
1515297605726,39,q709,c,14000
1515297662864,40,q11261,a,17000
1515297708554,41,q1213,b,17000
1515297745607,42,q220,a,16000
1515297774194,43,q558,b,17000
1515297806315,44,q11262,a,15000
1515297837227,45,q597,a,17000
1515297858568,46,q458,a,14000
1515484807941,47,q9643,b,64000
1515484890312,48,q4412,b,45000
1515484925754,49,q4879,b,20000
1515485166240,50,q9827,a,86000
1515485246706,51,q5114,a,58000
1515485268311,52,q5676,c,9000
1515485286726,53,q5317,a,11000
1515485344999,54,q9419,c,47000
1515485429970,55,q6351,b,56000
1515485449424,56,q5004,b,10000
1515506840567,57,q1301,b,17000
1515506874177,58,q11259,c,17000
1515506937409,59,q213,a,19000
1515508268385,60,q1294,a,16000
1515508358184,61,q399,a,16000
1515508386890,62,q11263,c,17000
1515508461350,63,q1291,c,19000
1515508485998,64,q1179,a,17000
1515508512753,65,q658,b,14000
1515508543644,66,q295,b,14000
1515508601130,67,q729,b,18000
1515508656594,68,q671,a,19000
